name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
eps Tau b,Confirmed,7.34,0.4,0.4,7.34,0.4,0.4,,,,594.9,5.3,5.3,1.9,0.05,0.05,0.151,0.023,0.023,,,,0.042889,2007,2016-02-01,94.4,7.4,7.4,2452879.0,12.0,12.0,,,,,,,,,,,,,,,,,,,93.2,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,eps Tau,67.1541667,19.1805556,3.53,,,,,45.0,,,0.17,0.04,0.04,2.7,0.1,0.1,13.7,0.6,0.6,K0 III,0.625,0.05,0.05,4901.0,20.0,20.0,,,"74 Tau, HD 28305"
eta Cet b,Confirmed,2.55,0.13,0.13,2.55,0.13,0.13,,,,403.5,1.5,1.5,1.27,,,0.13,0.05,0.05,,,,,2014,2015-08-21,250.6,20.5,20.5,,,,,,,,,,,,,,,,,,,,,,51.1,2.5,2.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,eta Cet,17.145833345,-10.182222238,3.45,,,,,38.0,0.2,0.2,0.12,0.08,0.08,1.7,0.1,0.1,14.3,0.2,0.2,K1III,,,,4528.0,19.0,19.0,,,
eta Cet c,Confirmed,3.32,0.18,0.18,3.32,0.18,0.18,,,,751.9,3.8,3.8,1.93,,,0.1,0.06,0.06,,,,,2014,2015-08-21,67.54,5.2,5.2,,,,,,,,,,,,,,,,,,,,,,52.9,2.5,2.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,eta Cet,17.145833345,-10.182222238,3.45,,,,,38.0,0.2,0.2,0.12,0.08,0.08,1.7,0.1,0.1,14.3,0.2,0.2,K1III,,,,4528.0,19.0,19.0,,,
G 264-012 b,Confirmed,0.0079,0.0009,0.0009,0.0079,0.0009,0.0009,,,,2.30538,0.00031,0.00031,0.02279,0.00061,0.00061,,,,,,,,2021,2021-05-31,,,,2458003.235,0.073,0.073,,,,,,,,,,,,,,,,,,,2.72,0.29,0.29,587.0,16.0,16.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,G 264-012,326.670833347,66.805833354,12.0,,,,,15.986,0.1,0.1,0.1,0.19,0.19,0.297,0.024,0.024,0.305,0.011,0.011,M4.0V,,,,3326.0,54.0,54.0,,,
G 264-012 c,Confirmed,0.0118,0.00151,0.00151,0.0118,0.00151,0.00151,,,,8.0518,0.0034,0.0034,0.0525,0.0014,0.0014,,,,,,,,2021,2021-05-31,,,,1458004.4,0.24,0.24,,,,,,,,,,,,,,,,,,,2.69,0.31,0.31,387.0,11.0,11.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,G 264-012,326.670833347,66.805833354,12.0,,,,,15.986,0.1,0.1,0.1,0.19,0.19,0.297,0.024,0.024,0.305,0.011,0.011,M4.0V,,,,3326.0,54.0,54.0,,,
Gaia-3 b,Confirmed,0.79,0.04,0.04,0.79,0.04,0.04,,,,310.9,,,0.799,,,0.948,0.004,0.004,,,,,2023,2023-09-13,206.0,2.3,2.3,2459962.48,,,,,,,,,,,,,,,,,,,,,93.9,7.0,7.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 66074 b,,Gaia-3,198.170833347,75.00694445,,,,,,35.37,0.03,0.03,0.12,0.05,0.05,0.705,,,0.69,,,,7.9,4.1,4.1,4300.0,60.0,60.0,,,HIP 66074
gamma 1 Leo b,Confirmed,63.88,56.1,56.1,8.78,1.0,1.0,,,,428.5,1.25,1.25,1.19,0.02,0.02,0.144,0.046,0.046,172.1,98.6,98.6,0.030909,2009,2015-09-14,206.7,9.2,9.2,2451236.0,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,gam 1 Leo b,,gamma 1 Leo,154.9916667,19.8413889,2.01,,,,,38.5,1.0,1.0,-0.51,0.05,0.05,1.23,0.21,0.21,31.88,1.61,1.61,K0III,,,,4330.0,15.0,15.0,,,gam 1 Leo
gamma Cephei b,Confirmed,17.539,0.745,0.745,1.742,0.074,0.074,,,,905.64,2.83,2.83,2.1459,0.0048,0.0048,0.0724,0.0575,0.0575,5.7,,,0.148658,2003,2022-09-07,48.47,1.8,1.8,2453140.16,38.31,38.31,,,,,,,,,,,,,,,,,,,28.08,1.23,1.23,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,gam Cephei b,,gamma Cephei,354.8333333,77.6322222,3.22,,,,,13.79,,,0.18,,,1.4,0.12,0.12,4.9,,,K1III-IV,6.6,,,4800.0,100.0,100.0,,,gam Cephei
gamma Lib b,Confirmed,1.029,0.087,0.087,1.029,0.087,0.087,,,,415.2,1.9,1.9,1.2397,0.0007,0.0007,0.25,0.031,0.031,,,,,2018,2018-04-16,219.1,10.9,10.9,2450047.0,16.0,16.0,,,,,,,,,,,,,,,,,,,22.0,2.2,2.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,gam Lib b,,gamma Lib,233.883333344,-14.789444465,3.0,,,,,50.2,0.4,0.4,-0.3,0.03,0.03,1.47,0.2,0.2,11.1,0.3,0.3,K0III,2.8,2.0,2.0,4822.0,15.0,15.0,,,gam Lib
gamma Lib c,Confirmed,4.63,0.12,0.12,4.63,0.12,0.12,,,,964.6,3.1,3.1,2.1761,0.002,0.002,0.054,0.022,0.022,,,,,2018,2018-04-16,154.3,7.2,7.2,2450716.0,16.0,16.0,,,,,,,,,,,,,,,,,,,73.0,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,gam Lib c,,gamma Lib,233.883333344,-14.789444465,3.0,,,,,50.2,0.4,0.4,-0.3,0.03,0.03,1.47,0.2,0.2,11.1,0.3,0.3,K0III,2.8,2.0,2.0,4822.0,15.0,15.0,,,gam Lib
