name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KMT-2019-BLG-0335 b,Confirmed,20.0,12.0,12.0,,,,,,,,,,1.64,0.26,0.26,,,,,,,,2023,2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-0335,262.841666674,-29.590555573,,,,,,7710.0,1220.0,1220.0,,,,0.32,0.19,0.19,,,,,,,,,,,,,
KMT-2019-BLG-0371 b,Confirmed,16.5,,,,,,,,,,,,1.15,0.6,0.6,,,,,,,,2021,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-0371,268.383333344,-31.555000015,,,,,,7025.0,1200.0,1200.0,,,,0.09,0.05,0.05,,,,,,,,,,,,,
KMT-2019-BLG-0414L b,Confirmed,4.42,2.3,2.3,,,,,,,,,,1.3,0.7,0.7,,,,,,,,2022,2022-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-0414,268.854166675,-21.895555583,,,,,,4410.0,1930.0,1930.0,,,,0.74,0.38,0.38,,,,,,,,,,,,,
KMT-2019-BLG-0842 b,Confirmed,10.28,5.28,5.28,,,,,,,,,,3.31,1.47,1.47,,,,,,,,2019,2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-0842,268.45833335,-29.877500026,,,,,,3320.0,1390.0,1390.0,,,,0.76,0.39,0.39,,,,,,,,,,,,,
KMT-2019-BLG-1042 b,Confirmed,0.19,0.11,0.11,,,,,,,,,,1.7,0.5,0.5,,,,,,,,2022,2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1042,270.545833337,-27.580555578,,,,,,6600.0,1700.0,1700.0,,,,0.3,0.18,0.18,,,,,,,,,,,,,
KMT-2019-BLG-1216 b,Confirmed,0.094,0.05,0.05,,,,,,,,,,2.44,1.12,1.12,,,,,,,,2023,2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1216,268.479166685,-35.136666672,,,,,,2740.0,1020.0,1020.0,,,,0.39,0.21,0.21,,,,,,,,,,,,,OGLE-2019-BLG-1033
KMT-2019-BLG-1339 b,Confirmed,12.2,6.7,6.7,,,,,,,,,,0.67,0.35,0.35,,,,,,,,2020,2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,EWS 2019-BLG-1019,,KMT-2019-BLG-1339,265.741666686,-25.573888906,,,,,,7150.0,1250.0,1250.0,,,,0.27,0.15,0.15,,,,,,,,,,,,,"EWS 2019-BLG-1019, OGLE 2019-BLG-1019"
KMT-2019-BLG-1367 b,Confirmed,0.01284,0.00654,0.00654,,,,,,,,,,1.7,0.56,0.56,,,,,,,,2022,2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1367,272.470833351,-29.762222247,,,,,,4670.0,2100.0,2100.0,,,,0.25,0.13,0.13,,,,,,,,,,,,,
KMT-2019-BLG-1552 b,Confirmed,4.05,1.85,1.85,,,,,,,,,,2.6,0.8,0.8,,,,,,,,2022,2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1552,269.595833341,-27.566944456,,,,,,,,,,,,0.79,0.36,0.36,,,,,,,,,,,,,
KMT-2019-BLG-1715 b,Confirmed,2.56,1.16,1.16,,,,,,,,,,3.32,0.9,0.9,,,,,,,,2021,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,KMT-2019-BLG-1715,270.370833343,-28.777222246,,,,,,3860.0,1120.0,1120.0,,,,0.76,0.3,0.3,,,,,,,,,,,,,
