5.204	0.0487	Jupiter
9.573	0.0520	Saturn
19.165	0.0469	Uranus
30.178	0.0097	Neptune
1.524	0.0935	Mars
1.	0.0167	Earth
0.723	0.0068	Venus
0.387	0.2056	Mercury
