BJD - 2454833, Corrected Flux
1981.941426684, 1.000363045,
1981.961858744, 1.000169811,
1981.982290903, 1.000448573,
1982.002723162, 1.000317238,
1982.023155321, 1.000311232,
1982.043587378, 1.000426173,
1982.064019636, 1.000365564,
1982.084451794, 1.000324575,
1982.104883851, 1.000218378,
1982.125316107, 1.000377654,
1982.145748163, 1.000326565,
1982.166180318, 1.000340649,
1982.186612573, 1.000324389,
1982.207044628, 1.000349380,
1982.227476782, 1.000412849,
1982.247909036, 1.000266265,
1982.268341089, 1.000291266,
1982.288773242, 1.000296300,
1982.309205495, 1.000480463,
1982.329637546, 1.000372733,
1982.350069698, 1.000332150,
1982.370501950, 1.000370349,
1982.390934100, 1.000232437,
1982.411366250, 1.000336408,
1982.431798400, 1.000258848,
1982.452230550, 1.000402084,
1982.493094847, 1.000541041,
1982.513526995, 1.000473565,
1982.533959243, 1.000369707,
1982.554391291, 1.000367572,
1982.574823437, 1.000347513,
1982.595255684, 1.000334440,
1982.615687730, 1.000321884,
1982.636119875, 1.000472278,
1982.656552121, 1.000451422,
1982.676984165, 1.000391541,
1982.697416309, 1.000216137,
1982.717848553, 1.000376521,
1982.738280597, 1.000333918,
1982.758712740, 1.000385893,
1982.779144982, 1.000322133,
1982.799577025, 1.000248691,
1982.820009166, 1.000465777,
1982.840441407, 1.000488809,
1982.860873548, 1.000469372,
1982.881305688, 1.000452359,
1982.901737829, 1.000347451,
1982.922169868, 1.000290467,
1982.942602107, 1.000447144,
1982.983466285, 1.000061637,
1983.003898522, 1.000213470,
1983.024330660, 1.000140886,
1983.044762697, 1.000199287,
1983.065194933, 1.000315967,
1983.085627069, 1.000335029,
1983.106059105, 1.000274700,
1983.126491340, 1.000349868,
1983.146923475, 1.000209627,
1983.167355510, 1.000166827,
1983.187787744, 1.000317351,
1983.208219877, 1.000249931,
1983.228652010, 1.000354803,
1983.249084143, 1.000525074,
1983.269516275, 1.000187066,
1983.289948407, 1.000261333,
1983.310380539, 1.000745943,
1983.330812670, 1.000160823,
1983.351244901, 1.000103485,
1983.371677031, 0.999994571,
1983.392109060, 1.000155280,
1983.412541290, 1.000002154,
1983.432973419, 1.000230256,
1983.473837675, 1.000263236,
1983.494269803, 1.000628768,
1983.514701830, 1.000205675,
1983.535134057, 1.000237868,
1983.555566183, 1.000535020,
1983.575998210, 1.000292266,
1983.596430435, 1.000387603,
1983.616862560, 1.000450594,
1983.637294585, 1.000436932,
1983.657726809, 1.000436409,
1983.678158833, 1.000266820,
1983.698591056, 1.000322886,
1983.719023179, 1.000100976,
1983.739455202, 1.000405131,
1983.759887324, 1.000293596,
1983.780319546, 1.000239822,
1983.800751667, 1.000439328,
1983.821183788, 1.000447004,
1983.841615908, 1.000472071,
1983.862048029, 1.000219406,
1983.882480248, 1.000522452,
1983.902912267, 1.000369176,
1983.923344386, 1.000356583,
1983.943776605, 1.000431500,
1983.964208623, 1.000563782,
1983.984640740, 1.000408527,
1984.005072957, 1.000217041,
1984.025504974, 1.000212103,
1984.045937091, 1.000368053,
1984.066369306, 1.000324197,
1984.086801322, 1.000236113,
1984.107233437, 1.000312868,
1984.127665652, 1.000539742,
1984.148097666, 1.000211266,
1984.168529779, 1.000325909,
1984.188961993, 1.000369209,
1984.209394106, 1.000364847,
1984.229826118, 1.000465304,
1984.250258330, 1.000415396,
1984.270690442, 1.000227175,
1984.291122554, 1.000236563,
1984.311554664, 1.000330740,
1984.331986775, 1.000466106,
1984.352418985, 1.000412321,
1984.372850994, 1.000510409,
1984.393283004, 1.000564136,
1984.475011536, 1.000443174,
1984.495443644, 1.000645015,
1984.515875651, 1.000423016,
1984.536307857, 1.000564222,
1984.556739962, 1.000651673,
1984.577171968, 1.000479409,
1984.597604173, 1.000509978,
1984.618036278, 1.000416840,
1984.638468382, 1.000384132,
1984.658900486, 1.000456975,
1984.679332590, 1.000478037,
1984.699764693, 1.000491907,
1984.720196895, 1.000526574,
1984.740628897, 1.000472712,
1984.761061099, 1.000479059,
1984.781493200, 1.000583268,
1984.801925201, 1.000399387,
1984.822357402, 1.000450686,
1984.842789502, 1.000533733,
1984.863221502, 1.000730276,
1984.883653701, 1.000337310,
1984.904085800, 1.000402925,
1984.985814092, 1.000456381,
1985.006246289, 1.000280051,
1985.026678385, 1.000261313,
1985.047110481, 1.000293200,
1985.067542576, 1.000410033,
1985.087974672, 1.000265764,
1985.108406766, 1.000446914,
1985.128838861, 1.000160652,
1985.169702948, 1.000271761,
1985.190135141, 1.000386821,
1985.210567234, 1.000227028,
1985.230999427, 1.000006644,
1985.251431419, 1.000337174,
1985.271863510, 1.000239061,
1985.292295701, 1.000406903,
1985.312727692, 1.000242110,
1985.333159782, 1.000419272,
1985.353591972, 1.000507545,
1985.374023962, 1.000240217,
1985.394456051, 1.000397295,
1985.455752316, 1.000396358,
1985.476184503, 1.000273220,
1985.496616490, 1.000445451,
1985.517048577, 1.000491613,
1985.537480763, 1.000393595,
1985.557912849, 1.000182457,
1985.578344834, 1.000376743,
1985.598777020, 1.000420522,
1985.619209104, 1.000374007,
1985.639641088, 1.000364940,
1985.660073272, 1.000439165,
1985.680505355, 1.000404854,
1985.700937539, 1.000294303,
1985.721369521, 1.000298882,
1985.741801603, 1.000378502,
1985.762233785, 1.000408778,
1985.782665766, 1.000459174,
1985.803097847, 1.000484264,
1985.823530028, 1.000678808,
1985.843962009, 1.000188511,
1985.864394088, 1.000349816,
1985.884826167, 1.000245330,
1985.946122403, 1.000334320,
1985.966554481, 1.000400838,
1985.986986558, 1.000382511,
1986.007418635, 1.000433228,
1986.027850712, 1.000432631,
1986.048282788, 1.000485357,
1986.068714964, 1.000358509,
1986.089146939, 1.000513869,
1986.130011189, 1.000253474,
1986.150443163, 1.000380955,
1986.170875337, 1.000541699,
1986.191307410, 1.000235153,
1986.211739383, 1.000384740,
1986.232171556, 1.000552229,
1986.252603628, 1.000362254,
1986.273035599, 1.000262986,
1986.293467771, 1.000477669,
1986.313899842, 1.000420043,
1986.334331813, 1.000656119,
1986.354763983, 1.000535262,
1986.375196052, 1.000499459,
1986.395628122, 1.000627271,
1986.416060191, 1.000469417,
1986.436492260, 1.000495830,
1986.456924327, 1.000571452,
1986.477356395, 1.000376596,
1986.497788463, 1.000313228,
1986.518220530, 1.000329868,
1986.538652697, 1.000016021,
1986.559084663, 1.000150003,
1986.579516728, 0.999849677,
1986.599948794, 0.999883579,
1986.681677051, 1.000419034,
1986.702109215, 1.000451183,
1986.722541178, 1.000621756,
1986.742973241, 1.000715371,
1986.763405403, 1.000440736,
1986.783837365, 1.000549112,
1986.804269426, 1.000539881,
1986.824701587, 1.000652118,
1986.845133548, 1.000391732,
1986.865565608, 1.000462721,
1986.926861787, 1.000246942,
1986.947293946, 1.000292349,
1986.967726004, 1.000066113,
1986.988157962, 1.000201992,
1987.008590119, 1.000201574,
1987.029022177, 1.000082353,
1987.049454133, 1.000190103,
1987.069886290, 1.000239665,
1987.090318346, 1.000152096,
1987.110750501, 1.000290646,
1987.172046665, 1.000075921,
1987.192478619, 1.000138908,
1987.212910673, 1.000142915,
1987.233342826, 1.000402742,
1987.253774779, 1.000330026,
1987.274206832, 1.000217146,
1987.294638984, 1.000292693,
1987.315070936, 1.000382973,
1987.355935137, 1.000238752,
1987.376367088, 1.000209699,
1987.396799138, 1.000252768,
1987.417231188, 1.000288223,
1987.437663237, 1.000300109,
1987.458095286, 1.000266539,
1987.478527434, 1.000305649,
1987.498959383, 1.000136861,
1987.519391530, 1.000137314,
1987.539823578, 1.000339317,
1987.560255525, 1.000298873,
1987.662415854, 1.000339024,
1987.682847799, 1.000293148,
1987.703279943, 1.000410715,
1987.723711987, 1.000411842,
1987.744144030, 1.000442690,
1987.764576074, 1.000285899,
1987.785008116, 1.000124648,
1987.805440159, 1.000456450,
1987.825872201, 1.000399142,
1987.846304242, 1.000342553,
1987.907600365, 1.000388998,
1987.928032405, 1.000314327,
1987.948464545, 1.000282961,
1987.968896484, 1.000497776,
1987.989328623, 1.000442185,
1988.009760661, 1.000238191,
1988.030192599, 1.000242863,
1988.050624737, 1.000274736,
1988.071056775, 1.000296309,
1988.091488711, 1.000382601,
1988.111920848, 1.000286477,
1988.132352784, 1.000655488,
1988.152784820, 1.000368728,
1988.173216956, 1.000376788,
1988.193648891, 1.000469878,
1988.214080925, 1.000670497,
1988.234513060, 1.000528988,
1988.254944994, 1.000493648,
1988.275377027, 1.000659972,
1988.295809160, 1.000328880,
1988.316241193, 1.000458455,
1988.336673125, 1.000421141,
1988.397969220, 1.000548185,
1988.418401351, 1.000536883,
1988.438833382, 1.000517469,
1988.459265512, 1.000630072,
1988.479697442, 1.000474060,
1988.500129471, 1.000740870,
1988.520561600, 1.000423923,
1988.540993528, 1.000535541,
1988.561425557, 1.000596741,
1988.643153766, 1.000405682,
1988.663585692, 1.000551894,
1988.684017718, 1.000462447,
1988.704449843, 1.000470067,
1988.724881768, 1.000582834,
1988.745313794, 1.000533534,
1988.765745918, 1.000578727,
1988.786177942, 1.000304122,
1988.806609866, 1.000590849,
1988.827041989, 1.000414763,
1988.908769978, 1.000477656,
1988.929202100, 1.000420405,
1988.949634121, 1.000509466,
1988.970066042, 1.000435553,
1988.990498162, 1.000453020,
1989.010930182, 1.000576429,
1989.031362101, 1.000752450,
1989.051794221, 1.000523954,
1989.072226239, 1.000329971,
1989.092658158, 1.000385658,
1989.113090276, 1.000409523,
1989.133522293, 1.000375446,
1989.153954311, 1.000334267,
1989.174386328, 1.000352824,
1989.194818345, 1.000631080,
1989.215250360, 1.000490835,
1989.235682376, 1.000491539,
1989.256114392, 1.000591761,
1989.276546407, 1.000431053,
1989.296978522, 1.000499114,
1989.378706477, 1.000496004,
1989.399138590, 1.000342772,
1989.419570602, 1.000328088,
1989.440002514, 1.000440579,
1989.460434626, 1.000225615,
1989.480866637, 1.000294829,
1989.501298548, 1.000257928,
1989.521730659, 1.000551448,
1989.542162669, 1.000337869,
1989.583026688, 1.000705680,
1989.603458698, 1.000206330,
1989.623890606, 1.000388399,
1989.644322715, 1.000222608,
1989.664754723, 1.000407661,
1989.685186631, 1.000262389,
1989.705618738, 1.000401315,
1989.726050745, 1.000455116,
1989.746482651, 1.000302079,
1989.766914758, 1.000086136,
1989.787346763, 1.000166888,
1989.807778669, 1.000282048,
1989.869074883, 1.000253412,
1989.889506787, 1.000433699,
1989.909938791, 1.000157097,
1989.930370894, 1.000289432,
1989.950802797, 1.000308184,
1989.971234799, 1.000404663,
1989.991666901, 1.000275373,
1990.012098803, 1.000299241,
1990.032530804, 1.000029208,
1990.052962905, 1.000045415,
1990.073394806, 1.000063732,
1990.093826806, 1.000126675,
1990.114258906, 1.000211726,
1990.134690906, 1.000277036,
1990.175554904, 1.000324243,
1990.195986903, 1.000329270,
1990.216418801, 1.000260310,
1990.236850898, 1.000126225,
1990.257282896, 1.000086002,
1990.277714893, 1.000239698,
1990.298146889, 1.000287334,
1990.359442877, 1.000110174,
1990.379874773, 1.000309796,
1990.400306867, 1.000323948,
1990.441170756, 0.998893822,
1990.461602850, 0.998675918,
1990.482034843, 0.998715453,
1990.502466837, 0.998782246,
1990.522898829, 0.999519293,
1990.604626796, 1.000098763,
1990.625058787, 0.999989475,
1990.645490878, 1.000016528,
1990.665922768, 1.000061452,
1990.686354758, 1.000115425,
1990.706786847, 1.000034044,
1990.727218736, 1.000114565,
1990.747650825, 0.999976305,
1990.768082814, 0.999978947,
1990.788514701, 0.999760409,
1990.849810663, 0.999879414,
1990.870242750, 0.999917391,
1990.890674736, 0.999897988,
1990.911106622, 0.999892253,
1990.931538707, 0.999908055,
1990.951970692, 0.999876626,
1990.972402677, 0.999865623,
1990.992834662, 0.999902816,
1991.013266646, 0.999722634,
1991.033698629, 0.999754741,
1991.054130613, 0.999697873,
1991.074562596, 0.999762657,
1991.094994479, 0.999733080,
1991.115426561, 0.999568315,
1991.135858543, 0.999800908,
1991.156290624, 0.999891285,
1991.176722506, 0.999718320,
1991.197154486, 0.999839296,
1991.217586567, 0.999682433,
1991.238018447, 0.999350968,
1991.258450427, 0.999646066,
1991.278882506, 0.999674512,
1991.340178442, 1.000130134,
1991.360610321, 0.999734243,
1991.381042298, 0.999600800,
1991.401474376, 0.999676951,
1991.421906253, 0.999812759,
1991.442338229, 0.999569537,
1991.462770305, 0.999735941,
1991.483202282, 0.999756151,
1991.503634157, 0.999602569,
1991.524066232, 0.999852093,
1991.544498207, 0.999585240,
1991.564930082, 0.999821476,
1991.585362156, 0.999836183,
1991.605794129, 0.999734947,
1991.626226203, 0.999628147,
1991.646658076, 0.999514585,
1991.667090049, 0.999558056,
1991.687522121, 0.999546943,
1991.707953993, 0.999648212,
1991.728385965, 0.999699865,
1991.748817936, 0.999604572,
1991.769249908, 0.999654432,
1991.789681878, 0.999648097,
1991.810113848, 0.999604676,
1991.830545818, 0.999637803,
1991.850977788, 0.999611105,
1991.871409757, 0.999513692,
1991.891841726, 0.999584050,
1991.912273695, 0.999524668,
1991.932705663, 0.999530473,
1991.953137630, 0.999491545,
1991.973569598, 0.999857405,
1991.994001665, 0.999558073,
1992.014433532, 0.999325116,
1992.075729431, 0.999606604,
1992.096161496, 0.999710095,
1992.116593461, 0.999503413,
1992.137025326, 0.999603001,
1992.157457390, 0.999659010,
1992.177889354, 0.999681627,
1992.198321218, 0.999456335,
1992.218753281, 0.999613777,
1992.239185244, 1.000072325,
1992.259617107, 0.999691684,
1992.300481131, 0.999583967,
1992.320913093, 0.999506532,
1992.341345054, 0.999462737,
1992.361777015, 0.999497863,
1992.382208975, 0.999502109,
1992.402640936, 0.999779608,
1992.423072895, 0.999589059,
1992.443504955, 0.999541007,
1992.463936914, 0.999451176,
1992.484368773, 0.999738798,
1992.504800832, 0.999465537,
1992.525232690, 0.999613255,
1992.545664648, 0.999670919,
1992.566096705, 0.999532920,
1992.586528562, 0.999514782,
1992.606960519, 0.999632132,
1992.647824432, 0.999623322,
1992.668256388, 0.999674703,
1992.688688443, 0.999547368,
1992.709120298, 0.999442805,
1992.729552253, 0.999473347,
1992.749984307, 0.999529064,
1992.811280168, 0.999409099,
1992.831712121, 0.999440523,
1992.852144074, 0.999442233,
1992.872576026, 0.999533030,
1992.893007978, 0.999398120,
1992.913439930, 0.999303087,
1992.933871882, 0.999334337,
1992.954303833, 0.999361440,
1992.974735883, 0.999468987,
1992.995167733, 0.999592086,
1993.015599684, 0.999396420,
1993.036031733, 0.999311228,
1993.056463582, 0.999248576,
1993.076895531, 0.999180661,
1993.097327580, 0.999137142,
1993.117759428, 0.999248789,
1993.138191376, 0.999254017,
1993.158623424, 0.998695312,
1993.179055271, 0.998755506,
1993.199487218, 0.998786374,
1993.219919265, 0.998543129,
1993.301646948, 0.998905909,
1993.322078993, 0.999395066,
1993.342510937, 0.999438861,
1993.362942782, 0.999303358,
1993.383374826, 0.999426036,
1993.403806769, 0.999387459,
1993.424238613, 0.999370286,
1993.444670655, 0.999237526,
1993.465102598, 0.999291209,
1993.485534440, 0.999311845,
1993.546830265, 0.999328907,
1993.567262306, 0.999394660,
1993.587694247, 0.999352463,
1993.608126087, 0.999433031,
1993.628558127, 0.999085935,
1993.648990066, 0.999205776,
1993.669422106, 0.999324266,
1993.689853944, 0.999295098,
1993.710285883, 0.999277969,
1993.730717921, 0.999344729,
1993.751149759, 0.999266260,
1993.771581697, 0.999338071,
1993.792013734, 0.999260125,
1993.812445671, 0.999330935,
1993.832877508, 0.999275842,
1993.853309544, 0.999068855,
1993.873741480, 0.998998745,
1993.894173315, 0.999174596,
1993.914605351, 0.999287359,
1993.935037286, 0.999139002,
1993.955469120, 0.999395547,
1994.037196955, 0.999242055,
1994.057628788, 0.999164412,
1994.078060821, 0.999266769,
1994.098492753, 0.999173179,
1994.118924585, 0.999206185,
1994.139356617, 0.999262931,
1994.159788548, 0.999310128,
1994.180220479, 0.999236477,
1994.200652410, 0.999237883,
1994.221084340, 0.999288975,
1994.282380129, 0.999079505,
1994.302812058, 0.999298620,
1994.323243987, 0.999089733,
1994.343675915, 0.999113791,
1994.364107843, 0.999100364,
1994.384539871, 0.999144388,
1994.404971699, 0.999044104,
1994.425403626, 0.999158356,
1994.445835652, 0.999007592,
1994.466267479, 0.999170361,
1994.486699505, 0.999028614,
1994.507131431, 0.999182529,
1994.527563256, 0.999148856,
1994.547995281, 0.999134339,
1994.568427206, 0.999086782,
1994.588859030, 0.999142703,
1994.609291055, 0.999187264,
1994.629722978, 0.999175510,
1994.650154902, 0.999091575,
1994.670586825, 0.999021748,
1994.691018748, 0.999159798,
1994.711450571, 0.999056848,
1994.772746336, 0.998845746,
1994.793178357, 0.998790110,
1994.813610278, 0.998691248,
1994.834042099, 0.998595338,
1994.854474119, 0.998621950,
1994.874906039, 0.998738441,
1994.895338059, 0.998571551,
1994.915769878, 0.998724843,
1994.936201797, 0.998724209,
1995.017929570, 0.998648501,
1995.038361387, 0.999060208,
1995.058793304, 0.998849349,
1995.079225321, 0.998797392,
1995.099657137, 0.998929542,
1995.120089053, 0.998846452,
1995.140521069, 0.998807761,
1995.160952885, 0.998808468,
1995.181384800, 0.998704474,
1995.201816815, 0.998691223,
1995.263112557, 0.998773095,
1995.283544471, 0.998686477,
1995.303976384, 0.998858408,
1995.324408297, 0.998744352,
1995.344840210, 0.998953853,
1995.365272122, 0.998800675,
1995.385704034, 0.998858829,
1995.406135945, 0.998741372,
1995.426567857, 0.998733198,
1995.446999768, 0.998701072,
1995.467431679, 0.998774328,
1995.487863589, 0.998831980,
1995.508295499, 0.998679867,
1995.528727309, 0.998652727,
1995.549159318, 0.998607299,
1995.569591227, 0.998643769,
1995.590023136, 0.998617009,
1995.610455045, 0.998689611,
1995.630886953, 0.998553417,
1995.651318861, 0.998715346,
1995.671750769, 0.998595381,
1995.692182676, 0.998708018,
1995.753478395, 0.998596598,
1995.773910401, 0.998693707,
1995.794342307, 0.998791797,
1995.814774113, 0.998688514,
1995.835206118, 0.998824286,
1995.855638022, 0.998813293,
1995.876069827, 0.998682126,
1995.896501831, 0.998771523,
1995.916933735, 0.998619215,
1995.937365538, 0.998984510,
1995.998661247, 0.998734255,
1996.019093249, 0.998812179,
1996.039525151, 0.998718779,
1996.059957052, 0.998554875,
1996.080388954, 0.998790738,
1996.100820855, 0.998637854,
1996.121252756, 0.998884550,
1996.141684656, 0.998709327,
1996.162116556, 0.998814672,
1996.182548456, 0.998775260,
1996.202980355, 0.998870057,
1996.223412254, 0.999042137,
1996.243844253, 0.999030725,
1996.264276052, 0.998745098,
1996.284707950, 0.999083007,
1996.305139948, 0.999088373,
1996.325571745, 0.998930746,
1996.346003643, 0.998741217,
1996.366435640, 0.998817250,
1996.386867436, 0.998761218,
1996.407299333, 0.998808337,
1996.489027015, 0.999061704,
1996.509458810, 0.998957102,
1996.529890805, 0.999100704,
1996.550322699, 0.999136033,
1996.570754593, 0.999075392,
1996.591186486, 0.999078199,
1996.611618380, 0.999013621,
1996.632050272, 0.999000567,
1996.652482165, 0.998711007,
1996.672914058, 0.998717633,
1996.734209733, 0.998385668,
1996.754641624, 0.998628169,
1996.775073615, 0.998734291,
1996.795505406, 0.998650000,
1996.815937296, 0.998618365,
1996.836369286, 0.998529930,
1996.856801075, 0.998549625,
1996.877232965, 0.998517929,
1996.897664854, 0.998429868,
1996.979392407, 0.998638267,
1996.999824395, 0.998403335,
1997.020256182, 0.998560675,
1997.040688069, 0.998405096,
1997.061120055, 0.998754550,
1997.101983728, 0.998774981,
1997.122415713, 0.998717943,
1997.142847599, 0.998588852,
1997.163279384, 0.998556701,
1997.224575038, 0.998696131,
1997.245007022, 0.998818831,
1997.265438905, 0.998540771,
1997.285870689, 0.998524343,
1997.306302671, 0.998709444,
1997.326734554, 0.998688530,
1997.347166537, 0.998795659,
1997.367598319, 0.998782246,
1997.388030201, 0.998901815,
1997.408462182, 0.998602354,
1997.428893964, 0.998758375,
1997.449325844, 0.998648049,
1997.469757825, 0.998736773,
1997.490189605, 0.998652722,
1997.510621486, 0.998663251,
1997.531053465, 0.998574042,
1997.551485345, 0.998648606,
1997.571917124, 0.998640301,
1997.592349103, 0.998743638,
1997.612780881, 0.998614769,
1997.633212760, 0.998626282,
1997.653644738, 0.998605751,
1997.714940370, 0.998754723,
1997.755804123, 0.998721673,
1997.776235999, 0.998841938,
1997.796667775, 0.998944791,
1997.817099751, 0.998824194,
1997.837531626, 0.999051430,
1997.857963401, 0.998797452,
1997.878395376, 0.998772037,
1997.898827250, 0.998868336,
1997.960122872, 0.998819378,
1997.980554745, 0.999055117,
1998.000986618, 0.998813143,
1998.021418491, 0.998803805,
1998.041850363, 0.998707233,
1998.062282335, 0.998810382,
1998.082714107, 0.998870870,
1998.103146079, 0.998922785,
1998.123577950, 0.999099044,
1998.144009721, 0.998849856,
1998.164441692, 0.999003337,
1998.184873562, 0.999133791,
1998.205305332, 0.998991887,
1998.225737302, 0.999005251,
1998.246169171, 0.999080349,
1998.266600941, 0.999022186,
1998.287032909, 0.998966277,
1998.307464778, 0.999014781,
1998.348328515, 0.999019659,
1998.368760282, 0.999267240,
1998.389192250, 0.999284777,
1998.450487750, 0.999205036,
1998.470919717, 0.999023846,
1998.491351583, 0.999053040,
1998.511783449, 0.999127928,
1998.532215314, 0.999138545,
1998.552647179, 0.999279973,
1998.573079144, 0.999084403,
1998.593510909, 0.999370496,
1998.613942773, 0.999555436,
